t,host,operation,status,error,latency
1709483368.6538055,43.0.celestial,del,success,,0.010853290557861328
1709483368.7697434,43.0.celestial,get,success,,0.010944366455078125
1709483368.884758,43.0.celestial,get,success,,0.010409355163574219
1709483369.0005038,43.0.celestial,del,success,,0.011520147323608398
1709483369.116423,43.0.celestial,set,success,,0.01087641716003418
1709483369.231086,43.0.celestial,del,success,,0.0139617919921875
1709483369.3486938,43.0.celestial,get,success,,0.013810157775878906
1709483369.4658363,43.0.celestial,del,success,,0.010459661483764648
1709483369.581363,43.0.celestial,del,success,,0.011245965957641602
1709483369.6961775,43.0.celestial,del,success,,0.010419845581054688
1709483369.8103962,43.0.celestial,get,success,,0.010433435440063477
1709483369.9246125,43.0.celestial,del,success,,0.0103759765625
1709483370.0380454,43.0.celestial,get,success,,0.010387659072875977
1709483370.1524053,43.0.celestial,set,success,,0.010547161102294922
1709483370.266795,43.0.celestial,set,success,,0.01048898696899414
1709483370.3806436,43.0.celestial,set,success,,0.010374784469604492
1709483370.4944122,43.0.celestial,set,success,,0.010532379150390625
1709483370.6089957,43.0.celestial,del,success,,0.010543107986450195
1709483370.7228224,43.0.celestial,set,success,,0.010509252548217773
1709483370.837107,43.0.celestial,del,success,,0.010444879531860352
1709483370.951361,43.0.celestial,set,success,,0.010443687438964844
1709483371.0662084,43.0.celestial,del,success,,0.010474681854248047
1709483371.1805167,43.0.celestial,get,success,,0.010371923446655273
1709483371.293977,43.0.celestial,set,success,,0.010318756103515625
1709483371.4074678,43.0.celestial,del,success,,0.010251998901367188
1709483371.521614,43.0.celestial,del,success,,0.010558128356933594
1709483371.636623,43.0.celestial,get,success,,0.010968685150146484
1709483371.7520034,43.0.celestial,del,success,,0.011156797409057617
1709483371.866311,43.0.celestial,get,success,,0.010412931442260742
1709483371.9804091,43.0.celestial,del,success,,0.010252952575683594
1709483372.0944767,43.0.celestial,del,success,,0.01035451889038086
1709483372.208545,43.0.celestial,set,success,,0.0104522705078125
1709483372.322157,43.0.celestial,del,success,,0.010454177856445312
1709483372.4362977,43.0.celestial,get,success,,0.0103607177734375
1709483372.5505674,43.0.celestial,set,success,,0.010424137115478516
1709483372.6641984,43.0.celestial,set,success,,0.010338783264160156
1709483372.778327,43.0.celestial,get,success,,0.010434150695800781
1709483372.892527,43.0.celestial,del,success,,0.010408163070678711
1709483373.0062773,43.0.celestial,set,success,,0.010520219802856445
1709483373.120656,43.0.celestial,set,success,,0.010463953018188477
1709483373.234521,43.0.celestial,set,fail,Timeout reading from socket,0.10413551330566406
1709483373.4412346,43.0.celestial,del,fail,Timeout connecting to server,0.10756063461303711
1709483373.653188,43.0.celestial,set,fail,Timeout connecting to server,0.10767936706542969
1709483373.8645043,43.0.celestial,del,fail,Timeout connecting to server,0.10652875900268555
1709483374.074771,43.0.celestial,del,fail,Timeout connecting to server,0.10766935348510742
1709483374.2848282,43.0.celestial,get,fail,Timeout connecting to server,0.10801100730895996
1709483374.4965847,43.0.celestial,get,fail,Timeout connecting to server,0.10749578475952148
1709483374.7070043,43.0.celestial,del,fail,Timeout connecting to server,0.10750222206115723
1709483374.9178085,43.0.celestial,get,fail,Timeout connecting to server,0.10757970809936523
1709483375.1284056,43.0.celestial,set,fail,Timeout connecting to server,0.10688662528991699
1709483375.338501,43.0.celestial,get,fail,Timeout connecting to server,0.1075589656829834
1709483375.5486233,43.0.celestial,set,fail,Timeout connecting to server,0.1082768440246582
1709483375.7602096,43.0.celestial,set,fail,Timeout connecting to server,0.10700201988220215
1709483375.9710398,43.0.celestial,get,fail,Timeout connecting to server,0.10694408416748047
1709483376.1803958,43.0.celestial,get,fail,Timeout connecting to server,0.10855937004089355
1709483376.3925917,43.0.celestial,del,fail,Timeout connecting to server,0.1066746711730957
1709483376.6024568,43.0.celestial,get,fail,Timeout connecting to server,0.10806846618652344
1709483376.812995,43.0.celestial,del,fail,Timeout connecting to server,0.10897231101989746
1709483377.025152,43.0.celestial,del,fail,Timeout connecting to server,0.10725784301757812
1709483377.2348077,43.0.celestial,get,fail,Timeout connecting to server,0.1074686050415039
1709483377.4457104,43.0.celestial,get,fail,Timeout connecting to server,0.10829305648803711
1709483377.6565855,43.0.celestial,get,fail,Timeout connecting to server,0.10815000534057617
1709483377.8670974,43.0.celestial,get,fail,Timeout connecting to server,0.10825085639953613
1709483378.077742,43.0.celestial,set,fail,Timeout connecting to server,0.1074831485748291
1709483378.2882357,43.0.celestial,get,fail,Timeout connecting to server,0.10684442520141602
1709483378.498203,43.0.celestial,get,fail,Timeout connecting to server,0.10821413993835449
1709483378.7108452,43.0.celestial,set,fail,Timeout connecting to server,0.10728168487548828
1709483378.9206772,43.0.celestial,del,fail,Timeout connecting to server,0.10814666748046875
1709483379.1325572,43.0.celestial,get,fail,Timeout connecting to server,0.10777020454406738
1709483379.343358,43.0.celestial,set,fail,Timeout connecting to server,0.10726666450500488
1709483379.5530486,43.0.celestial,set,fail,Timeout connecting to server,0.10798096656799316
1709483379.7640202,43.0.celestial,get,fail,Timeout connecting to server,0.10629129409790039
1709483379.9742763,43.0.celestial,del,fail,Timeout connecting to server,0.10692715644836426
1709483380.1841073,43.0.celestial,del,fail,Timeout connecting to server,0.10629510879516602
1709483380.3943639,43.0.celestial,get,fail,Timeout connecting to server,0.10691332817077637
1709483380.604238,43.0.celestial,set,fail,Timeout connecting to server,0.1079869270324707
1709483380.815323,43.0.celestial,del,fail,Timeout connecting to server,0.1067194938659668
1709483381.0244877,43.0.celestial,get,fail,Timeout connecting to server,0.10737991333007812
1709483381.2348363,43.0.celestial,del,fail,Timeout connecting to server,0.1073765754699707
1709483381.4446228,43.0.celestial,get,fail,Timeout connecting to server,0.10834646224975586
1709483381.6553648,43.0.celestial,get,fail,Timeout connecting to server,0.10726809501647949
1709483381.8649907,43.0.celestial,set,fail,Timeout connecting to server,0.10918784141540527
1709483382.076932,43.0.celestial,set,fail,Timeout connecting to server,0.1116790771484375
1709483382.291268,43.0.celestial,del,fail,Timeout connecting to server,0.11002254486083984
1709483382.5053356,43.0.celestial,get,fail,Timeout connecting to server,0.10755753517150879
1709483382.716164,43.0.celestial,set,fail,Timeout connecting to server,0.10696530342102051
1709483382.92635,43.0.celestial,get,fail,Timeout connecting to server,0.10750460624694824
1709483383.1363118,43.0.celestial,set,fail,Timeout connecting to server,0.10776448249816895
1709483383.3463762,43.0.celestial,set,fail,Timeout connecting to server,0.10753560066223145
1709483383.5568936,43.0.celestial,get,fail,Timeout connecting to server,0.10858273506164551
1709483383.7689385,43.0.celestial,get,fail,Timeout connecting to server,0.10829758644104004
1709483383.9809873,43.0.celestial,del,fail,Timeout connecting to server,0.1097712516784668
1709483384.1942248,43.0.celestial,set,fail,Timeout connecting to server,0.10909485816955566
1709483384.4068437,43.0.celestial,set,fail,Timeout connecting to server,0.11113095283508301
1709483384.6215093,43.0.celestial,del,fail,Timeout connecting to server,0.10840177536010742
1709483384.8327537,43.0.celestial,set,fail,Timeout connecting to server,0.11012864112854004
1709483385.0465288,43.0.celestial,get,fail,Timeout connecting to server,0.11007809638977051
1709483385.259369,43.0.celestial,del,fail,Timeout connecting to server,0.11072301864624023
1709483385.4737313,43.0.celestial,del,fail,Timeout connecting to server,0.10861325263977051
1709483385.6851528,43.0.celestial,set,fail,Timeout connecting to server,0.10887837409973145
1709483385.8972368,43.0.celestial,set,fail,Timeout connecting to server,0.10808825492858887
1709483386.108323,43.0.celestial,get,fail,Timeout connecting to server,0.10673284530639648
1709483386.3188598,43.0.celestial,del,fail,Timeout connecting to server,0.10700106620788574
1709483386.5290928,43.0.celestial,set,fail,Timeout connecting to server,0.1080477237701416
1709483386.7408292,43.0.celestial,set,fail,Timeout connecting to server,0.1078181266784668
1709483386.9522245,43.0.celestial,del,fail,Timeout connecting to server,0.1070258617401123
1709483387.1629455,43.0.celestial,del,fail,Timeout connecting to server,0.10790681838989258
1709483387.37522,43.0.celestial,del,fail,Timeout connecting to server,0.10745072364807129
1709483387.587327,43.0.celestial,set,fail,Timeout connecting to server,0.10683989524841309
1709483387.7973306,43.0.celestial,set,fail,Timeout connecting to server,0.1083688735961914
1709483388.008472,43.0.celestial,set,fail,Timeout connecting to server,0.10821342468261719
1709483388.2205648,43.0.celestial,set,fail,Timeout connecting to server,0.10883784294128418
1709483388.4326017,43.0.celestial,del,fail,Timeout connecting to server,0.11449003219604492
1709483388.6578734,43.0.celestial,del,fail,Timeout connecting to server,0.11379361152648926
1709483388.8822658,43.0.celestial,set,fail,Timeout connecting to server,0.11359000205993652
1709483389.1068306,43.0.celestial,set,fail,Timeout connecting to server,0.11402487754821777
1709483389.331395,43.0.celestial,get,fail,Timeout connecting to server,0.11410903930664062
1709483389.5576031,43.0.celestial,get,fail,Timeout connecting to server,0.11815500259399414
1709483389.7874982,43.0.celestial,get,fail,Timeout connecting to server,0.11517643928527832
1709483390.0143735,43.0.celestial,get,fail,Timeout connecting to server,0.11525964736938477
1709483390.2413416,43.0.celestial,del,fail,Timeout connecting to server,0.11687564849853516
1709483390.4692242,43.0.celestial,get,fail,Timeout connecting to server,0.11443924903869629
1709483390.6943357,43.0.celestial,set,fail,Timeout connecting to server,0.11421418190002441
1709483390.9192655,43.0.celestial,get,fail,Timeout connecting to server,0.11491608619689941
1709483391.1466668,43.0.celestial,set,fail,Timeout connecting to server,0.11601567268371582
1709483391.3723443,43.0.celestial,set,fail,Timeout connecting to server,0.11434459686279297
1709483391.5984144,43.0.celestial,set,fail,Timeout connecting to server,0.11391019821166992
1709483391.823281,43.0.celestial,get,fail,Timeout connecting to server,0.11649703979492188
1709483392.0519183,43.0.celestial,del,fail,Timeout connecting to server,0.11402058601379395
1709483392.2760212,43.0.celestial,get,fail,Timeout connecting to server,0.11310935020446777
1709483392.498955,43.0.celestial,get,fail,Timeout connecting to server,0.11386704444885254
1709483392.7235763,43.0.celestial,set,fail,Timeout connecting to server,0.11536145210266113
1709483392.9505656,43.0.celestial,set,fail,Timeout connecting to server,0.1156003475189209
1709483393.1766937,43.0.celestial,get,fail,Timeout connecting to server,0.114227294921875
1709483393.401389,43.0.celestial,del,fail,Timeout connecting to server,0.11523246765136719
1709483393.627892,43.0.celestial,del,fail,Timeout connecting to server,0.1164395809173584
1709483393.8565915,43.0.celestial,set,fail,Timeout connecting to server,0.11583781242370605
1709483394.084017,43.0.celestial,del,fail,Timeout connecting to server,0.11388897895812988
1709483394.3083756,43.0.celestial,get,fail,Timeout connecting to server,0.11562275886535645
1709483394.5355446,43.0.celestial,get,fail,Timeout connecting to server,0.1142127513885498
1709483394.7609253,43.0.celestial,set,fail,Timeout connecting to server,0.11443376541137695
1709483394.9868333,43.0.celestial,get,fail,Timeout connecting to server,0.11396622657775879
1709483395.2117639,43.0.celestial,get,fail,Timeout connecting to server,0.11617326736450195
1709483395.4408226,43.0.celestial,del,fail,Timeout connecting to server,0.11509490013122559
1709483395.666697,43.0.celestial,get,fail,Timeout connecting to server,0.11585664749145508
1709483395.8932097,43.0.celestial,set,fail,Timeout connecting to server,0.11325669288635254
1709483396.1162052,43.0.celestial,get,fail,Timeout connecting to server,0.1144106388092041
1709483396.341551,43.0.celestial,get,fail,Timeout connecting to server,0.11650538444519043
1709483396.5692086,43.0.celestial,get,fail,Timeout connecting to server,0.11365914344787598
1709483396.79553,43.0.celestial,del,fail,Timeout connecting to server,0.1170804500579834
1709483397.0247762,43.0.celestial,del,fail,Timeout connecting to server,0.11595940589904785
1709483397.2513382,43.0.celestial,get,fail,Timeout connecting to server,0.11383295059204102
1709483397.4760358,43.0.celestial,get,fail,Timeout connecting to server,0.11728620529174805
1709483397.7065337,43.0.celestial,del,fail,Timeout connecting to server,0.1140894889831543
1709483397.9327652,43.0.celestial,del,fail,Timeout connecting to server,0.11498594284057617
1709483398.1583202,43.0.celestial,get,fail,Timeout connecting to server,0.11681699752807617
1709483398.386733,43.0.celestial,set,fail,Timeout connecting to server,0.11525368690490723
1709483398.613354,43.0.celestial,del,fail,Timeout connecting to server,0.1145474910736084
