t,host,operation,status,error,latency
1709390365.7013063,43.0.celestial,get,success,,0.010218381881713867
1709390365.8143277,43.0.celestial,del,success,,0.010105371475219727
1709390365.9278228,43.0.celestial,get,success,,0.010396003723144531
1709390366.041699,43.0.celestial,del,success,,0.010688543319702148
1709390366.1559563,43.0.celestial,set,success,,0.010150909423828125
1709390366.2695556,43.0.celestial,del,success,,0.010120630264282227
1709390366.3838232,43.0.celestial,set,success,,0.010102987289428711
1709390366.4981012,43.0.celestial,set,success,,0.010084390640258789
1709390366.6110554,43.0.celestial,get,success,,0.010830402374267578
1709390366.7254632,43.0.celestial,get,success,,0.010170459747314453
1709390366.8399563,43.0.celestial,get,success,,0.011464357376098633
1709390366.954256,43.0.celestial,set,success,,0.01031041145324707
1709390367.0680842,43.0.celestial,set,success,,0.01015019416809082
1709390367.1816797,43.0.celestial,del,success,,0.010094165802001953
1709390367.2947364,43.0.celestial,del,success,,0.010660886764526367
1709390367.4080715,43.0.celestial,del,success,,0.010053396224975586
1709390367.521396,43.0.celestial,set,success,,0.01012110710144043
1709390367.634589,43.0.celestial,del,success,,0.010016441345214844
1709390367.7478147,43.0.celestial,set,success,,0.009965658187866211
1709390367.860558,43.0.celestial,del,success,,0.010249614715576172
1709390367.9735005,43.0.celestial,set,success,,0.010274887084960938
1709390368.0864697,43.0.celestial,del,success,,0.010024547576904297
1709390368.1998947,43.0.celestial,set,success,,0.01032400131225586
1709390368.3136294,43.0.celestial,del,success,,0.010255813598632812
1709390368.426713,43.0.celestial,get,success,,0.011127471923828125
1709390368.5414484,43.0.celestial,del,success,,0.010091543197631836
1709390368.6543725,43.0.celestial,set,success,,0.010143280029296875
1709390368.7683365,43.0.celestial,get,success,,0.010485172271728516
1709390368.8816934,43.0.celestial,del,success,,0.01006317138671875
1709390368.9945498,43.0.celestial,set,success,,0.010081052780151367
1709390369.108731,43.0.celestial,set,success,,0.011427879333496094
1709390369.223079,43.0.celestial,set,success,,0.010656118392944336
1709390369.3365326,43.0.celestial,get,success,,0.010148286819458008
1709390369.4500344,43.0.celestial,get,success,,0.0104827880859375
1709390369.5643349,43.0.celestial,get,success,,0.010027408599853516
1709390369.6780138,43.0.celestial,set,success,,0.011010408401489258
1709390369.7922268,43.0.celestial,set,success,,0.010016441345214844
1709390369.9057965,43.0.celestial,get,success,,0.010362386703491211
1709390370.019225,43.0.celestial,set,success,,0.010333538055419922
1709390370.1337347,43.0.celestial,set,success,,0.010665655136108398
1709390370.2480032,43.0.celestial,del,success,,0.010108709335327148
1709390370.36214,43.0.celestial,del,success,,0.010058164596557617
1709390370.4765112,43.0.celestial,del,success,,0.011114120483398438
1709390370.592686,43.0.celestial,set,success,,0.020817041397094727
1709390370.7167773,43.0.celestial,get,success,,0.010342597961425781
1709390370.8310015,43.0.celestial,get,fail,Timeout reading from socket,0.1068429946899414
1709390371.0406034,43.0.celestial,set,fail,Timeout connecting to server,0.10820746421813965
1709390371.2512503,43.0.celestial,set,fail,Timeout connecting to server,0.10738182067871094
1709390371.4616528,43.0.celestial,del,fail,Timeout connecting to server,0.10787439346313477
1709390371.6723218,43.0.celestial,set,fail,Timeout connecting to server,0.1088862419128418
1709390371.8842678,43.0.celestial,get,fail,Timeout connecting to server,0.10761618614196777
1709390372.0947754,43.0.celestial,get,fail,Timeout connecting to server,0.10769104957580566
1709390372.3050015,43.0.celestial,get,fail,Timeout connecting to server,0.10814929008483887
1709390372.5163398,43.0.celestial,del,fail,Timeout connecting to server,0.10811495780944824
1709390372.7270222,43.0.celestial,get,fail,Timeout connecting to server,0.1077718734741211
1709390372.9379864,43.0.celestial,get,fail,Timeout connecting to server,0.10802006721496582
1709390373.1502047,43.0.celestial,set,fail,Timeout connecting to server,0.10776400566101074
1709390373.360403,43.0.celestial,set,fail,Timeout connecting to server,0.10828351974487305
1709390373.5710998,43.0.celestial,set,fail,Timeout connecting to server,0.10885334014892578
1709390373.7828782,43.0.celestial,del,fail,Timeout connecting to server,0.10773968696594238
1709390373.9944015,43.0.celestial,del,fail,Timeout connecting to server,0.1065526008605957
1709390374.2031708,43.0.celestial,set,fail,Timeout connecting to server,0.109771728515625
1709390374.4167128,43.0.celestial,get,fail,Timeout connecting to server,0.10730433464050293
1709390374.626577,43.0.celestial,get,fail,Timeout connecting to server,0.1091463565826416
1709390374.8381736,43.0.celestial,del,fail,Timeout connecting to server,0.10830545425415039
1709390375.0486534,43.0.celestial,set,fail,Timeout connecting to server,0.1083672046661377
1709390375.2613084,43.0.celestial,get,fail,Timeout connecting to server,0.10725235939025879
1709390375.4709175,43.0.celestial,set,fail,Timeout connecting to server,0.11040759086608887
1709390375.6841493,43.0.celestial,del,fail,Timeout connecting to server,0.10795354843139648
1709390375.8945048,43.0.celestial,del,fail,Timeout connecting to server,0.11107039451599121
1709390376.1082344,43.0.celestial,del,fail,Timeout connecting to server,0.10994362831115723
1709390376.3209968,43.0.celestial,set,fail,Timeout connecting to server,0.10894298553466797
1709390376.5322292,43.0.celestial,get,fail,Timeout connecting to server,0.10885763168334961
1709390376.7446713,43.0.celestial,del,fail,Timeout connecting to server,0.10849380493164062
1709390376.9562624,43.0.celestial,set,fail,Timeout connecting to server,0.11016225814819336
1709390377.1686354,43.0.celestial,set,fail,Timeout connecting to server,0.1089789867401123
1709390377.3824108,43.0.celestial,del,fail,Timeout connecting to server,0.10851001739501953
1709390377.594034,43.0.celestial,set,fail,Timeout connecting to server,0.10726237297058105
1709390377.805686,43.0.celestial,set,fail,Timeout connecting to server,0.10719680786132812
1709390378.0160298,43.0.celestial,del,fail,Timeout connecting to server,0.1065521240234375
1709390378.2254243,43.0.celestial,get,fail,Timeout connecting to server,0.10886788368225098
1709390378.4375434,43.0.celestial,set,fail,Timeout connecting to server,0.1081993579864502
1709390378.6497314,43.0.celestial,del,fail,Timeout connecting to server,0.11449980735778809
1709390378.8754368,43.0.celestial,set,fail,Timeout connecting to server,0.11501598358154297
1709390379.1030402,43.0.celestial,get,fail,Timeout connecting to server,0.11643576622009277
1709390379.3314114,43.0.celestial,get,fail,Timeout connecting to server,0.11395907402038574
1709390379.5565972,43.0.celestial,get,fail,Timeout connecting to server,0.11367487907409668
1709390379.7813857,43.0.celestial,set,fail,Timeout connecting to server,0.11446571350097656
1709390380.008908,43.0.celestial,del,fail,Timeout connecting to server,0.11645722389221191
1709390380.2373643,43.0.celestial,del,fail,Timeout connecting to server,0.11522746086120605
1709390380.4652267,43.0.celestial,del,fail,Timeout connecting to server,0.11632275581359863
1709390380.69477,43.0.celestial,del,fail,Timeout connecting to server,0.11298227310180664
