t,host,operation,status,error,latency
1708877844.8847382,43.0.celestial,set,success,,0.006677389144897461
1708877844.996411,43.0.celestial,del,success,,0.0075685977935791016
1708877845.1076753,43.0.celestial,del,success,,0.0066089630126953125
1708877845.2173264,43.0.celestial,get,success,,0.0064160823822021484
1708877845.3267953,43.0.celestial,del,success,,0.007188320159912109
1708877845.4383101,43.0.celestial,del,success,,0.006448030471801758
1708877845.547819,43.0.celestial,set,success,,0.00652766227722168
1708877845.6575766,43.0.celestial,del,success,,0.006398439407348633
1708877845.7677054,43.0.celestial,get,success,,0.0065937042236328125
1708877845.8786101,43.0.celestial,del,success,,0.008297920227050781
1708877845.990053,43.0.celestial,del,success,,0.006543397903442383
1708877846.0997212,43.0.celestial,set,success,,0.006636381149291992
1708877846.2095025,43.0.celestial,del,success,,0.006438493728637695
1708877846.3196516,43.0.celestial,get,success,,0.0063707828521728516
1708877846.4297104,43.0.celestial,get,success,,0.0063779354095458984
1708877846.539835,43.0.celestial,set,success,,0.006484270095825195
1708877846.6500487,43.0.celestial,del,success,,0.006583690643310547
1708877846.7598412,43.0.celestial,del,success,,0.006376028060913086
1708877846.8706095,43.0.celestial,get,success,,0.008964776992797852
1708877846.9827318,43.0.celestial,set,success,,0.006911516189575195
1708877847.0927284,43.0.celestial,set,success,,0.006460428237915039
1708877847.2023618,43.0.celestial,get,success,,0.0064089298248291016
1708877847.311857,43.0.celestial,set,success,,0.0066204071044921875
1708877847.4217288,43.0.celestial,get,success,,0.006449222564697266
1708877847.531831,43.0.celestial,del,success,,0.006574392318725586
1708877847.6416354,43.0.celestial,del,success,,0.006432771682739258
1708877847.7524636,43.0.celestial,del,success,,0.007861852645874023
1708877847.8642755,43.0.celestial,del,success,,0.006441831588745117
1708877847.9746463,43.0.celestial,del,success,,0.008560657501220703
1708877848.0864437,43.0.celestial,set,success,,0.007201194763183594
1708877848.1999326,43.0.celestial,get,success,,0.00847315788269043
1708877848.3123002,43.0.celestial,set,success,,0.006539344787597656
1708877848.422013,43.0.celestial,del,success,,0.0064983367919921875
1708877848.5317395,43.0.celestial,set,success,,0.006346702575683594
1708877848.6425724,43.0.celestial,del,success,,0.00849604606628418
1708877848.7550423,43.0.celestial,set,success,,0.00646209716796875
1708877848.8646646,43.0.celestial,del,success,,0.006484508514404297
1708877848.9756322,43.0.celestial,del,success,,0.00778651237487793
1708877849.0869093,43.0.celestial,del,success,,0.00686955451965332
1708877849.1984022,43.0.celestial,get,success,,0.008959770202636719
1708877849.3105867,43.0.celestial,set,fail,Timeout reading from socket,0.10514330863952637
1708877849.5182366,43.0.celestial,set,fail,Timeout connecting to server,0.10834574699401855
1708877849.7304246,43.0.celestial,del,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.057118892669677734
1708877849.8901014,43.0.celestial,get,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.014374256134033203
1708877850.0080206,43.0.celestial,set,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.012975454330444336
1708877850.1246495,43.0.celestial,set,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.011954545974731445
1708877850.2398818,43.0.celestial,set,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.012967109680175781
1708877850.3569732,43.0.celestial,get,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.013015508651733398
1708877850.4726784,43.0.celestial,set,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.0131683349609375
1708877850.5883286,43.0.celestial,del,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.012439250946044922
1708877850.7038226,43.0.celestial,set,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.012752056121826172
1708877850.8191612,43.0.celestial,get,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.013399362564086914
1708877850.9368253,43.0.celestial,del,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.012079000473022461
1708877851.0527608,43.0.celestial,del,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.011917829513549805
1708877851.1676736,43.0.celestial,get,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.012741804122924805
1708877851.282903,43.0.celestial,set,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.013698816299438477
1708877851.399688,43.0.celestial,get,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.012421607971191406
1708877851.5145245,43.0.celestial,get,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.01470184326171875
1708877851.632327,43.0.celestial,del,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.012603282928466797
1708877851.7485332,42.0.celestial,del,success,,0.007026195526123047
1708877851.8606722,42.0.celestial,set,success,,0.00829315185546875
1708877851.9730108,42.0.celestial,del,success,,0.007169246673583984
1708877852.0847297,42.0.celestial,set,success,,0.008217096328735352
1708877852.1967497,42.0.celestial,del,success,,0.00699925422668457
1708877852.3070161,42.0.celestial,set,success,,0.0070879459381103516
1708877852.4186037,42.0.celestial,get,success,,0.0075223445892333984
1708877852.530511,42.0.celestial,del,success,,0.008708000183105469
1708877852.6436586,42.0.celestial,set,success,,0.00873708724975586
1708877852.756775,42.0.celestial,del,success,,0.008129119873046875
1708877852.8701804,42.0.celestial,get,success,,0.00696873664855957
1708877852.9802861,42.0.celestial,del,success,,0.006849050521850586
1708877853.0915673,42.0.celestial,set,success,,0.008095502853393555
1708877853.2028253,42.0.celestial,set,success,,0.007503032684326172
1708877853.313685,42.0.celestial,set,success,,0.006987810134887695
1708877853.424059,42.0.celestial,del,success,,0.00698399543762207
1708877853.5341954,42.0.celestial,del,success,,0.006847858428955078
1708877853.6448326,42.0.celestial,set,success,,0.0069005489349365234
1708877853.7548919,42.0.celestial,set,success,,0.0068433284759521484
1708877853.8655634,42.0.celestial,del,success,,0.0068721771240234375
1708877853.9768484,42.0.celestial,set,success,,0.006943702697753906
1708877854.0869203,42.0.celestial,set,success,,0.006818056106567383
1708877854.1975672,42.0.celestial,del,success,,0.006842136383056641
1708877854.3088489,42.0.celestial,del,success,,0.008118391036987305
1708877854.4208202,42.0.celestial,get,success,,0.0068933963775634766
1708877854.531721,42.0.celestial,del,success,,0.007038116455078125
1708877854.6421385,42.0.celestial,del,success,,0.0068590641021728516
1708877854.752186,42.0.celestial,del,success,,0.006961822509765625
1708877854.8630133,42.0.celestial,set,success,,0.00687718391418457
1708877854.9743702,42.0.celestial,set,success,,0.006969928741455078
1708877855.0852106,42.0.celestial,get,success,,0.0069081783294677734
1708877855.195908,42.0.celestial,del,success,,0.006872892379760742
1708877855.305169,42.0.celestial,del,success,,0.0069086551666259766
1708877855.4158053,42.0.celestial,del,success,,0.007265567779541016
1708877855.5261734,42.0.celestial,set,success,,0.007012128829956055
1708877855.6364748,42.0.celestial,get,success,,0.006857872009277344
1708877855.7464821,42.0.celestial,get,success,,0.009523868560791016
1708877855.8598106,42.0.celestial,set,success,,0.006799936294555664
1708877855.9702957,42.0.celestial,del,success,,0.00776982307434082
1708877856.0827932,42.0.celestial,del,success,,0.0075833797454833984
1708877856.1937697,42.0.celestial,del,success,,0.006994962692260742
1708877856.3041961,42.0.celestial,set,success,,0.007005929946899414
1708877856.4165857,42.0.celestial,get,success,,0.008339643478393555
1708877856.5291126,42.0.celestial,del,success,,0.007060527801513672
1708877856.6399572,42.0.celestial,get,success,,0.0071239471435546875
1708877856.7523794,42.0.celestial,del,success,,0.007873058319091797
1708877856.8645575,42.0.celestial,set,success,,0.00702357292175293
1708877856.976306,42.0.celestial,del,success,,0.006913423538208008
1708877857.0885382,42.0.celestial,set,success,,0.007690906524658203
1708877857.2003121,42.0.celestial,get,success,,0.00685882568359375
1708877857.3125226,42.0.celestial,get,success,,0.0076639652252197266
1708877857.4244955,42.0.celestial,get,success,,0.0072324275970458984
1708877857.535735,42.0.celestial,set,success,,0.006937980651855469
1708877857.6484873,42.0.celestial,get,success,,0.00815129280090332
1708877857.7613175,42.0.celestial,set,success,,0.006822824478149414
1708877857.8721464,42.0.celestial,get,success,,0.007008552551269531
1708877857.9822853,42.0.celestial,get,success,,0.006766080856323242
1708877858.0921168,42.0.celestial,del,success,,0.006771564483642578
1708877858.2025704,42.0.celestial,get,success,,0.008588790893554688
1708877858.3148997,42.0.celestial,get,success,,0.006880760192871094
1708877858.4261315,42.0.celestial,set,success,,0.006853342056274414
1708877858.5366814,42.0.celestial,set,success,,0.0071086883544921875
1708877858.6477296,42.0.celestial,set,success,,0.007169008255004883
1708877858.7600067,42.0.celestial,del,success,,0.008223295211791992
1708877858.8722491,42.0.celestial,del,success,,0.007121562957763672
1708877858.9838731,42.0.celestial,set,success,,0.006952762603759766
1708877859.0944495,42.0.celestial,del,success,,0.008727073669433594
1708877859.20815,42.0.celestial,del,success,,0.007609367370605469
1708877859.319965,42.0.celestial,get,success,,0.0068247318267822266
1708877859.4308968,42.0.celestial,set,success,,0.006954193115234375
1708877859.5423775,42.0.celestial,set,success,,0.006970882415771484
1708877859.652515,42.0.celestial,get,success,,0.006916522979736328
1708877859.7628295,42.0.celestial,del,success,,0.0074884891510009766
1708877859.87422,42.0.celestial,set,success,,0.0068590641021728516
1708877859.9844947,42.0.celestial,get,success,,0.007196903228759766
1708877860.0961013,42.0.celestial,del,success,,0.00702667236328125
1708877860.2071416,42.0.celestial,set,success,,0.00693511962890625
1708877860.3183937,42.0.celestial,set,success,,0.007875442504882812
1708877860.4297235,42.0.celestial,set,success,,0.006898164749145508
1708877860.539966,42.0.celestial,set,success,,0.006865501403808594
1708877860.6499052,42.0.celestial,set,success,,0.006932973861694336
