t,host,operation,status,error,latency
1708775099.4190948,43.0.celestial,del,success,,0.006642818450927734
1708775099.5295618,43.0.celestial,del,success,,0.006538867950439453
1708775099.639826,43.0.celestial,del,success,,0.00650477409362793
1708775099.7495253,43.0.celestial,get,success,,0.006576061248779297
1708775099.859287,43.0.celestial,set,success,,0.006639003753662109
1708775099.9697087,43.0.celestial,set,success,,0.006691694259643555
1708775100.079548,43.0.celestial,set,success,,0.006402254104614258
1708775100.1897016,43.0.celestial,set,success,,0.006304740905761719
1708775100.3004646,43.0.celestial,set,success,,0.0069048404693603516
1708775100.4103956,43.0.celestial,get,success,,0.006300687789916992
1708775100.5198543,43.0.celestial,del,success,,0.006364107131958008
1708775100.629917,43.0.celestial,del,success,,0.006356239318847656
1708775100.7393782,43.0.celestial,del,success,,0.006361722946166992
1708775100.8494334,43.0.celestial,get,success,,0.006324052810668945
1708775100.959379,43.0.celestial,set,success,,0.006464242935180664
1708775101.0695202,43.0.celestial,set,success,,0.00642085075378418
1708775101.1802495,43.0.celestial,set,success,,0.008162498474121094
1708775101.291478,43.0.celestial,get,success,,0.006358623504638672
1708775101.4022257,43.0.celestial,get,success,,0.007877588272094727
1708775101.5137668,43.0.celestial,del,success,,0.006348133087158203
1708775101.6231792,43.0.celestial,get,success,,0.006472349166870117
1708775101.733551,43.0.celestial,set,success,,0.006495475769042969
1708775101.8432362,43.0.celestial,del,success,,0.006673097610473633
1708775101.9536939,43.0.celestial,del,success,,0.006666898727416992
1708775102.0635958,43.0.celestial,get,success,,0.006363391876220703
1708775102.1738698,43.0.celestial,set,success,,0.00645899772644043
1708775102.283451,43.0.celestial,del,success,,0.006479740142822266
1708775102.3935783,43.0.celestial,set,success,,0.006303071975708008
1708775102.5035217,43.0.celestial,set,success,,0.0064814090728759766
1708775102.6136875,43.0.celestial,del,success,,0.006427764892578125
1708775102.7232628,43.0.celestial,get,success,,0.0066220760345458984
1708775102.8336148,43.0.celestial,del,success,,0.006294965744018555
1708775102.9436114,43.0.celestial,del,success,,0.006356477737426758
1708775103.0536346,43.0.celestial,get,success,,0.006337404251098633
1708775103.163714,43.0.celestial,set,success,,0.00649571418762207
1708775103.274111,43.0.celestial,set,success,,0.006426334381103516
1708775103.3837452,43.0.celestial,del,success,,0.00658106803894043
1708775103.4940078,43.0.celestial,get,success,,0.0064733028411865234
1708775103.6036453,43.0.celestial,set,success,,0.00654149055480957
1708775103.7139077,43.0.celestial,get,success,,0.0063402652740478516
1708775103.8233104,43.0.celestial,del,success,,0.006505489349365234
1708775103.9334984,43.0.celestial,set,success,,0.006338357925415039
1708775104.045787,43.0.celestial,set,success,,0.008186101913452148
1708775104.157658,43.0.celestial,del,success,,0.0065424442291259766
1708775104.2675493,43.0.celestial,get,fail,Timeout reading from socket,0.10355520248413086
1708775104.4739497,43.0.celestial,get,fail,Timeout connecting to server,0.10904216766357422
1708775104.6854749,43.0.celestial,set,fail,Timeout connecting to server,0.1090850830078125
1708775104.8984928,43.0.celestial,set,fail,Timeout connecting to server,0.10937619209289551
1708775105.110782,43.0.celestial,del,fail,Timeout connecting to server,0.10945582389831543
1708775105.326217,43.0.celestial,get,fail,Timeout connecting to server,0.10944247245788574
1708775105.5384612,43.0.celestial,set,fail,Timeout connecting to server,0.10911726951599121
1708775105.7499225,43.0.celestial,set,fail,Timeout connecting to server,0.10841083526611328
1708775105.961432,43.0.celestial,del,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.012576103210449219
1708775106.0764186,43.0.celestial,del,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.013252019882202148
1708775106.191948,43.0.celestial,del,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.012681007385253906
1708775106.3096478,43.0.celestial,del,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.013726234436035156
1708775106.4262528,43.0.celestial,get,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.01251673698425293
1708775106.5418026,43.0.celestial,del,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.012630224227905273
1708775106.65769,43.0.celestial,get,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.012726306915283203
1708775106.7752907,43.0.celestial,set,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.011677026748657227
1708775106.8898082,43.0.celestial,get,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.013380765914916992
1708775107.0063646,43.0.celestial,set,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.012816190719604492
1708775107.1220572,43.0.celestial,get,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.01396632194519043
1708775107.2394342,43.0.celestial,del,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.014715433120727539
1708775107.3576374,43.0.celestial,get,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.013469696044921875
1708775107.4744737,43.0.celestial,get,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.012721776962280273
1708775107.5904174,43.0.celestial,set,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.01262211799621582
1708775107.7062154,43.0.celestial,set,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.012603282928466797
1708775107.8216162,43.0.celestial,del,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.012790679931640625
1708775107.9379,43.0.celestial,get,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.015998363494873047
1708775108.0565538,43.0.celestial,get,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.013854265213012695
1708775108.1741216,43.0.celestial,get,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.01403498649597168
1708775108.2916028,43.0.celestial,del,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.012971878051757812
1708775108.4078403,43.0.celestial,del,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.012791633605957031
1708775108.5238311,43.0.celestial,get,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.01393580436706543
1708775108.6403062,43.0.celestial,set,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.014389753341674805
1708775108.758162,43.0.celestial,del,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.013214349746704102
1708775108.8747633,43.0.celestial,set,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.012614727020263672
1708775108.9912632,43.0.celestial,del,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.015877723693847656
1708775109.1100643,43.0.celestial,get,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.01772761344909668
1708775109.2309096,43.0.celestial,set,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.016852140426635742
1708775109.3517706,43.0.celestial,del,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.01871800422668457
1708775109.4744658,43.0.celestial,del,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.019254207611083984
1708775109.596484,43.0.celestial,set,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.018369436264038086
1708775109.7179518,43.0.celestial,get,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.020384550094604492
1708775109.8435664,43.0.celestial,get,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.01680731773376465
1708775109.9660375,43.0.celestial,set,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.01759791374206543
1708775110.087943,43.0.celestial,set,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.018631458282470703
