t,source_sat,target_sat,total_duration,total_checkpoint_duration,checkpoint_stats.podman_checkpoint_duration,checkpoint_stats.container_statistics.runtime_checkpoint_duration,checkpoint_stats.container_statistics.criu_statistics.freezing_time,checkpoint_stats.container_statistics.criu_statistics.frozen_time,checkpoint_stats.container_statistics.criu_statistics.memdump_time,checkpoint_stats.container_statistics.criu_statistics.memwrite_time,checkpoint_stats.container_statistics.criu_statistics.pages_scanned,checkpoint_stats.container_statistics.criu_statistics.pages_written,checkpoint_stats.container_statistics.criu_statistics.memdump_time,total_restore_duration,restore_stats.podman_restore_duration,restore_stats.container_statistics.runtime_restore_duration,restore_stats.container_statistics.criu_statistics.forking_time,restore_stats.container_statistics.criu_statistics.pages_restored,restore_stats.container_statistics.criu_statistics.restore_time
1709484184.084329,34.0.celestial,33.0.celestial,61607216.59660339,16925179.719924927,16506107,1563779,101313,1446341,1306966,1102516,13079163,558396,1306966,44682036.87667847,38165570,15503087,4,558396,15417775
1709484273.600037,33.0.celestial,32.0.celestial,60075506.21032715,15142279.386520386,14776204,1451222,1192,1430878,1279777,1156623,13079163,558396,1279777,44933226.82380676,38505324,15861145,4,558396,15764988
1709484365.2749083,32.0.celestial,31.0.celestial,61676787.61482239,16500487.327575684,16097155,1492545,101489,1375191,1239206,1075983,13079163,558396,1239206,45176300.287246704,38698966,16002930,6,558396,15903193
1709484457.7208219,31.0.celestial,30.0.celestial,62257570.50514221,16421607.255935669,16025839,1520501,101218,1403894,1263099,1095065,13079163,558396,1263099,45835963.24920654,39465384,15694470,3,558396,15594127
1709484549.1017835,30.0.celestial,29.0.celestial,60896171.8082428,15375442.743301392,14974103,1374914,1176,1357860,1220480,1107611,13079163,558396,1220480,45520729.064941406,39064908,15568398,3,558396,15482817
1709484641.3047338,29.0.celestial,28.0.celestial,61092539.78729248,15961815.357208252,15520217,1541629,101456,1424984,1288862,1086085,13079163,558396,1288862,45130724.43008423,38398107,15559666,4,558396,15471534
1709484732.4671154,28.0.celestial,26.0.celestial,60327033.51974487,15180992.364883423,14802096,1569644,101038,1451286,1307324,1105138,13079163,558396,1307324,45146041.15486145,38576753,15883491,6,558396,15790310
1709484832.585073,26.0.celestial,25.0.celestial,69512024.64103699,15543630.123138428,15119811,1464882,101167,1345711,1208313,1099504,13079163,558396,1208313,53968394.51789856,47578032,21165038,5,558396,21068871
1709484945.2738638,25.0.celestial,24.0.celestial,75195343.01757812,19726020.097732544,19342079,1529780,101785,1411493,1262011,1085270,13079163,558396,1262011,55469322.91984558,48877756,21975039,4,558396,21860980
1709485056.574592,24.0.celestial,23.0.celestial,75103658.1993103,19595805.168151855,19165494,1460420,1553,1440644,1305599,1154625,13079163,558396,1305599,55507853.03115845,48068105,19300376,3,558396,19192364
