t,instance_size,source_sat,target_sat,total_duration,total_checkpoint_duration,checkpoint_stats.podman_checkpoint_duration,checkpoint_stats.container_statistics.runtime_checkpoint_duration,checkpoint_stats.container_statistics.criu_statistics.freezing_time,checkpoint_stats.container_statistics.criu_statistics.frozen_time,checkpoint_stats.container_statistics.criu_statistics.memdump_time,checkpoint_stats.container_statistics.criu_statistics.memwrite_time,checkpoint_stats.container_statistics.criu_statistics.pages_scanned,checkpoint_stats.container_statistics.criu_statistics.pages_written,checkpoint_stats.container_statistics.criu_statistics.memdump_time,total_restore_duration,restore_stats.podman_restore_duration,restore_stats.container_statistics.runtime_restore_duration,restore_stats.container_statistics.criu_statistics.forking_time,restore_stats.container_statistics.criu_statistics.pages_restored,restore_stats.container_statistics.criu_statistics.restore_time
1708877851.7737637,0,43.0.celestial,42.0.celestial,2460075.616836548,707244.1577911377,491931,86957,1129,68156,2595,1273,8097,597,2595,1752831.4590454102,462584,156880,3,597,73655
1708877904.6499345,0,42.0.celestial,41.0.celestial,2525928.258895874,756127.119064331,526049,152638,100986,34505,2526,1231,8097,600,2526,1769801.139831543,396449,115903,4,600,59476
1708877982.6025927,0,41.0.celestial,40.0.celestial,2559418.6782836914,766271.3527679443,547458,152250,101546,34834,2772,1317,8097,601,2772,1793147.325515747,496787,155863,3,601,85048
1708878065.4332716,0,40.0.celestial,39.0.celestial,2423132.89642334,660913.2289886475,434804,49016,1078,32623,2681,1346,8097,601,2681,1762219.6674346924,438169,146080,4,601,80715
1708878148.2130566,0,39.0.celestial,38.0.celestial,2360905.885696411,653198.9574432373,469901,47762,981,31567,2327,1330,8097,602,2327,1707706.9282531738,443333,150204,4,602,87917
1708878226.035486,0,38.0.celestial,37.0.celestial,2426241.636276245,588990.4499053955,399803,51458,1065,34773,3596,1896,8097,602,3596,1837251.1863708496,507141,169425,3,602,70190
1708878308.9604747,0,37.0.celestial,36.0.celestial,2513067.0070648193,698553.8005828857,499005,159752,101428,38460,4218,1656,8097,605,4218,1814513.2064819336,445164,138529,3,605,73571
1708878391.9343565,0,36.0.celestial,35.0.celestial,2547770.2617645264,778343.677520752,532297,150683,101295,33615,2440,1297,8097,605,2440,1769426.5842437744,452319,146623,4,605,82146
1708878474.7751708,0,35.0.celestial,34.0.celestial,2420586.585998535,668843.7461853027,425813,51377,1173,33372,2626,1324,8097,605,2626,1751742.8398132324,397542,136111,4,605,61692
1708878557.609966,0,34.0.celestial,33.0.celestial,2421531.2004089355,627635.2405548096,424588,53834,1299,35000,2647,1319,8097,605,2647,1793895.959854126,462042,158608,3,605,79398
1708878640.4930582,0,33.0.celestial,32.0.celestial,2462068.0809020996,700284.481048584,499096,154002,101494,34269,2516,1237,8097,606,2516,1761783.5998535156,440828,140524,3,606,77949
1708878723.2464066,0,32.0.celestial,31.0.celestial,2352548.599243164,633787.6319885254,424627,49518,1027,32978,3055,1703,8097,606,3055,1718760.9672546387,448179,165707,4,606,88579
1708878806.0615175,0,31.0.celestial,30.0.celestial,2392276.5254974365,623546.1235046387,410059,48827,1191,32782,2525,1339,8097,606,2525,1768730.4019927979,481671,179942,4,606,86604
1708878883.9497077,0,30.0.celestial,29.0.celestial,2481145.143508911,673765.6593322754,441670,54242,1563,35369,2744,1437,8097,606,2744,1807379.4841766357,451168,176386,4,606,85817
1708878966.9099135,0,29.0.celestial,28.0.celestial,2537138.9389038086,755530.1189422607,564608,151075,101295,34770,2597,1407,8097,606,2597,1781608.8199615479,468463,173759,3,606,97800
1708879054.9900737,0,28.0.celestial,27.0.celestial,2391649.2462158203,633323.6694335938,412337,49254,1034,32567,2617,1225,8097,607,2617,1758325.5767822266,486451,166121,4,607,79650
1708879138.1671026,0,27.0.celestial,26.0.celestial,2484387.159347534,730462.7895355225,515813,151869,101657,32916,2593,1272,8097,607,2593,1753924.3698120117,475914,159088,4,607,74521
1708879221.3688705,0,26.0.celestial,25.0.celestial,2512132.167816162,723779.4399261475,505623,150584,101303,34219,2725,1438,8097,607,2725,1788352.7278900146,504097,138370,3,607,75225
1708879304.3988388,0,25.0.celestial,24.0.celestial,2315300.226211548,608633.0413818359,398654,48231,807,32442,2927,1500,8097,607,2927,1706667.184829712,398245,128265,4,607,69053
1708879387.5344915,0,24.0.celestial,23.0.celestial,2437959.1941833496,747743.1297302246,562774,151756,101234,35067,2622,1233,8097,607,2622,1690216.064453125,397648,144624,4,607,77624
1708879470.7097101,0,23.0.celestial,22.0.celestial,2471287.0121002197,738491.2967681885,515062,151664,101507,34284,2952,1495,8097,607,2952,1732795.7153320312,438562,155498,4,607,90090
1708879917.9939888,100,43.0.celestial,42.0.celestial,4646731.376647949,1132845.6401824951,899006,250117,1006,233647,166148,158662,71790,26899,166148,3513885.736465454,1969828,791724,3,26899,719959
1708879977.7500978,100,42.0.celestial,41.0.celestial,4411514.9974823,913023.9486694336,671261,125892,1106,108337,74158,69735,71793,26898,74158,3498491.048812866,2011633,780398,4,26898,696562
1708880057.7727973,100,41.0.celestial,40.0.celestial,4616097.211837769,947959.8999023438,744701,255019,101021,138344,99775,91267,71796,26901,99775,3668137.311935425,2133581,887861,4,26901,784602
1708880137.7855635,100,40.0.celestial,39.0.celestial,4614094.257354736,933590.8889770508,713608,147240,902,130302,95544,91069,71796,26901,95544,3680503.3683776855,2074342,834397,4,26901,745970
1708880217.8267765,100,39.0.celestial,38.0.celestial,4637873.17276001,995187.9978179932,789170,233192,101136,117536,81197,72705,71796,26901,81197,3642685.1749420166,2034182,770288,4,26901,692627
1708880303.0196772,100,38.0.celestial,37.0.celestial,4754079.103469849,968796.968460083,710952,143531,1131,127691,93406,87846,71796,26901,93406,3785282.1350097656,2166144,839653,4,26901,751587
1708880383.096682,100,37.0.celestial,36.0.celestial,4666781.902313232,1022189.6171569824,796693,223845,101311,107241,69771,61893,71796,26901,69771,3644592.28515625,2071285,828866,3,26901,745468
1708880463.0040708,100,36.0.celestial,35.0.celestial,4481688.737869263,957439.661026001,703119,143994,1146,127452,92255,85421,71796,26901,92255,3524249.0768432617,2006167,832308,4,26901,738560
1708880548.004807,100,35.0.celestial,34.0.celestial,4583250.7610321045,964217.9012298584,753949,240394,101336,124053,88239,82557,71796,26901,88239,3619032.859802246,2117969,814357,5,26901,754219
1708880627.8725414,100,34.0.celestial,33.0.celestial,4483852.6248931885,898029.5658111572,675924,138190,884,121575,82998,73093,71796,26901,82998,3585823.0590820312,2034273,792678,4,26901,723047
1708880712.907891,100,33.0.celestial,32.0.celestial,4618317.127227783,1006863.5940551758,798034,242972,100982,125067,86986,82390,71796,26901,86986,3611453.5331726074,2108897,821989,4,26901,736515
1708880792.8012466,100,32.0.celestial,31.0.celestial,4498639.822006226,913593.7690734863,700716,127682,831,110659,74682,68885,71796,26901,74682,3585046.0529327393,2017646,840664,4,26901,752896
1708880877.693189,100,31.0.celestial,30.0.celestial,4477915.525436401,880205.8696746826,685491,138754,1127,121205,85477,76687,71796,26901,85477,3597709.6557617188,2036409,819552,4,26901,734665
1708880958.0885413,100,30.0.celestial,29.0.celestial,4731871.128082275,1081588.0298614502,821986,244846,101107,125947,86497,78314,71796,26901,86497,3650283.098220825,2092132,837097,4,26901,758254
1708881043.2430506,100,29.0.celestial,28.0.celestial,4450986.862182617,868514.5378112793,660812,129885,1614,110278,72373,65012,71796,26901,72373,3582472.324371338,2034939,849181,4,26901,764409
1708881123.5316672,100,28.0.celestial,27.0.celestial,4631644.248962402,1046120.4051971436,809870,228971,101335,112329,74653,67467,71796,26901,74653,3585523.843765259,2037019,841520,4,26901,744895
1708881208.7375603,100,27.0.celestial,26.0.celestial,4502103.328704834,906505.3462982178,658257,138977,1122,122912,87026,78286,71796,26901,87026,3595597.982406616,2056825,821960,5,26901,742786
1708881293.9931033,100,26.0.celestial,25.0.celestial,4560199.26071167,875684.7381591797,676813,133737,913,116933,81126,74384,71796,26901,81126,3684514.5225524902,2129661,780546,4,26901,703755
1708881374.289087,100,25.0.celestial,24.0.celestial,4626538.7535095215,934993.0286407471,683726,134660,998,116549,80616,71254,71796,26901,80616,3691545.7248687744,2124653,815952,4,26901,753323
1708881459.593212,100,24.0.celestial,23.0.celestial,4598688.125610352,995180.8452606201,760993,237445,101412,117984,81538,72330,71796,26901,81538,3603507.2803497314,2048310,752920,3,26901,687856
1708881544.8151596,100,23.0.celestial,22.0.celestial,4501517.772674561,883320.5699920654,694576,120269,1035,103604,67766,63012,71796,26901,67766,3618197.202682495,2084501,812433,3,26901,750381
1708881829.288843,500,43.0.celestial,42.0.celestial,13224297.046661377,2094339.13230896,1799794,511596,1515,493296,391222,355809,1003557,132138,391222,11129957.914352417,8805743,3709658,4,132138,3618870
1708881876.969298,500,42.0.celestial,41.0.celestial,12393437.385559082,1749793.291091919,1476893,350023,760,334830,281089,261766,1003574,132139,281089,10643644.094467163,8298952,3381041,4,132139,3305086
1708881959.851226,500,41.0.celestial,40.0.celestial,12500841.856002808,1909029.9606323242,1686720,468533,101316,349314,292926,249352,1003574,132139,292926,10591811.895370483,8302861,3369193,3,132139,3285049
1708882042.6351233,500,40.0.celestial,39.0.celestial,12396318.435668945,1818893.1941986084,1600569,360533,820,340906,285763,266076,1003574,132139,285763,10577425.241470337,8245636,3406524,4,132139,3326833
1708882120.6131732,500,39.0.celestial,38.0.celestial,12605131.149291992,1933966.875076294,1707539,371202,972,355100,300753,267027,1003580,132140,300753,10671164.274215698,8350118,3395976,3,132140,3306605
1708882203.7685668,500,38.0.celestial,37.0.celestial,12765882.015228271,2146985.0540161133,1922460,451552,101332,334105,275789,236314,1003614,132143,275789,10618896.961212158,8302989,3382708,4,132143,3318291
