t,host,operation,status,error,latency
1709470741.9054215,43.0.celestial,del,success,,0.006537437438964844
1709470742.0157475,43.0.celestial,del,success,,0.006405353546142578
1709470742.1258683,43.0.celestial,get,success,,0.0064144134521484375
1709470742.2361808,43.0.celestial,set,success,,0.006350040435791016
1709470742.346373,43.0.celestial,set,success,,0.006442546844482422
1709470742.4560184,43.0.celestial,set,success,,0.0064198970794677734
1709470742.5655448,43.0.celestial,set,success,,0.006341218948364258
1709470742.6749678,43.0.celestial,get,success,,0.006409168243408203
1709470742.7845147,43.0.celestial,del,success,,0.00640106201171875
1709470742.8947995,43.0.celestial,del,success,,0.006811380386352539
1709470743.0046794,43.0.celestial,del,success,,0.006216287612915039
1709470743.1140816,43.0.celestial,del,success,,0.006245851516723633
1709470743.223969,43.0.celestial,set,success,,0.006241798400878906
1709470743.3338132,43.0.celestial,del,success,,0.006250619888305664
1709470743.443721,43.0.celestial,del,success,,0.0061762332916259766
1709470743.5536609,43.0.celestial,get,success,,0.006219387054443359
1709470743.6629097,43.0.celestial,set,success,,0.006936311721801758
1709470743.774107,43.0.celestial,set,success,,0.006360292434692383
1709470743.8837545,43.0.celestial,set,success,,0.0062716007232666016
1709470743.9936738,43.0.celestial,get,success,,0.006249189376831055
1709470744.1029387,43.0.celestial,get,success,,0.00690460205078125
1709470744.2135248,43.0.celestial,get,success,,0.0064051151275634766
1709470744.3228621,43.0.celestial,set,success,,0.006788015365600586
1709470744.4326165,43.0.celestial,set,success,,0.006098270416259766
1709470744.5416517,43.0.celestial,set,success,,0.0060558319091796875
1709470744.6506138,43.0.celestial,get,success,,0.006833076477050781
1709470744.7606037,43.0.celestial,set,success,,0.006108283996582031
1709470744.869725,43.0.celestial,set,success,,0.006231784820556641
1709470744.9790137,43.0.celestial,set,success,,0.00631260871887207
1709470745.0882244,43.0.celestial,del,success,,0.0061724185943603516
1709470745.197296,43.0.celestial,set,success,,0.006190061569213867
1709470745.3069594,43.0.celestial,set,success,,0.006265878677368164
1709470745.4161766,43.0.celestial,set,success,,0.006194353103637695
1709470745.5253518,43.0.celestial,get,success,,0.006214141845703125
1709470745.634432,43.0.celestial,set,success,,0.0062274932861328125
1709470745.7440643,43.0.celestial,del,success,,0.00615239143371582
1709470745.8548474,43.0.celestial,get,success,,0.007858753204345703
1709470745.965613,43.0.celestial,set,success,,0.0060901641845703125
1709470746.074584,43.0.celestial,get,success,,0.006748676300048828
1709470746.1842823,43.0.celestial,del,success,,0.006280660629272461
1709470746.293599,43.0.celestial,get,success,,0.006336688995361328
1709470746.4040928,43.0.celestial,del,fail,Timeout reading from socket,0.10459709167480469
1709470746.6124396,43.0.celestial,set,fail,Timeout connecting to server,0.10625767707824707
1709470746.8220658,43.0.celestial,set,fail,Timeout connecting to server,0.10683798789978027
1709470747.0320232,43.0.celestial,del,fail,Timeout connecting to server,0.10761523246765137
1709470747.2420309,43.0.celestial,set,fail,Timeout connecting to server,0.1073923110961914
