t,source_sat,target_sat,total_duration,total_checkpoint_duration,checkpoint_stats.podman_checkpoint_duration,checkpoint_stats.container_statistics.runtime_checkpoint_duration,checkpoint_stats.container_statistics.criu_statistics.freezing_time,checkpoint_stats.container_statistics.criu_statistics.frozen_time,checkpoint_stats.container_statistics.criu_statistics.memdump_time,checkpoint_stats.container_statistics.criu_statistics.memwrite_time,checkpoint_stats.container_statistics.criu_statistics.pages_scanned,checkpoint_stats.container_statistics.criu_statistics.pages_written,checkpoint_stats.container_statistics.criu_statistics.memdump_time,total_restore_duration,restore_stats.podman_restore_duration,restore_stats.container_statistics.runtime_restore_duration,restore_stats.container_statistics.criu_statistics.forking_time,restore_stats.container_statistics.criu_statistics.pages_restored,restore_stats.container_statistics.criu_statistics.restore_time
1709483465.5258899,43.0.celestial,42.0.celestial,69334781.40830994,27346981.525421143,26910634,13733487,101281,13616187,13444817,13326329,13079174,558397,13444817,41987799.882888794,35692073,14320449,4,558397,14231562
1709483554.6016715,42.0.celestial,41.0.celestial,58716184.61608887,15499440.908432007,15091473,1393758,788,1377402,1241076,1080095,13079131,558394,1241076,43216743.70765686,36788256,14396031,4,558394,14301709
1709483642.2676365,41.0.celestial,40.0.celestial,58800691.84303284,15437184.09538269,15059526,1405210,1107,1387812,1253250,1098808,13079131,558394,1253250,43363507.74765015,36982003,14529829,4,558394,14428393
1709483731.4693313,40.0.celestial,38.0.celestial,58893814.32533264,15464799.404144287,15052159,1553923,101540,1435221,1293740,1121774,13079131,558394,1293740,43429014.921188354,36912074,14703990,3,558394,14615368
1709483821.1518154,38.0.celestial,37.0.celestial,60184695.95909119,16245624.06539917,15841784,1501005,101364,1382884,1244399,1079344,13079131,558394,1244399,43939071.89369202,37160444,15078710,3,558394,14987181
1709483910.601099,37.0.celestial,36.0.celestial,59286888.83781433,14548608.541488647,14160826,1371942,1144,1352477,1216527,1107466,13079131,558394,1216527,44738280.29632568,38075232,15504671,4,558394,15413586
1709484001.8816595,36.0.celestial,35.0.celestial,60994255.30433655,16391304.731369019,15978502,1452413,1108,1435253,1296935,1080688,13079163,558396,1296935,44602950.57296753,37979833,15462590,3,558396,15363943
1709484092.2717264,35.0.celestial,34.0.celestial,60902611.01722717,16610283.613204956,16230794,1561220,101452,1444043,1306934,1092185,13079163,558396,1306934,44292327.40402222,37913748,15377016,3,558396,15272969
1709484184.084329,34.0.celestial,33.0.celestial,61607216.59660339,16925179.719924927,16506107,1563779,101313,1446341,1306966,1102516,13079163,558396,1306966,44682036.87667847,38165570,15503087,4,558396,15417775
1709484273.600037,33.0.celestial,32.0.celestial,60075506.21032715,15142279.386520386,14776204,1451222,1192,1430878,1279777,1156623,13079163,558396,1279777,44933226.82380676,38505324,15861145,4,558396,15764988
1709484365.2749083,32.0.celestial,31.0.celestial,61676787.61482239,16500487.327575684,16097155,1492545,101489,1375191,1239206,1075983,13079163,558396,1239206,45176300.287246704,38698966,16002930,6,558396,15903193
1709484457.7208219,31.0.celestial,30.0.celestial,62257570.50514221,16421607.255935669,16025839,1520501,101218,1403894,1263099,1095065,13079163,558396,1263099,45835963.24920654,39465384,15694470,3,558396,15594127
1709484549.1017835,30.0.celestial,29.0.celestial,60896171.8082428,15375442.743301392,14974103,1374914,1176,1357860,1220480,1107611,13079163,558396,1220480,45520729.064941406,39064908,15568398,3,558396,15482817
1709484641.3047338,29.0.celestial,28.0.celestial,61092539.78729248,15961815.357208252,15520217,1541629,101456,1424984,1288862,1086085,13079163,558396,1288862,45130724.43008423,38398107,15559666,4,558396,15471534
1709484732.4671154,28.0.celestial,26.0.celestial,60327033.51974487,15180992.364883423,14802096,1569644,101038,1451286,1307324,1105138,13079163,558396,1307324,45146041.15486145,38576753,15883491,6,558396,15790310
1709484832.585073,26.0.celestial,25.0.celestial,69512024.64103699,15543630.123138428,15119811,1464882,101167,1345711,1208313,1099504,13079163,558396,1208313,53968394.51789856,47578032,21165038,5,558396,21068871
1709484945.2738638,25.0.celestial,24.0.celestial,75195343.01757812,19726020.097732544,19342079,1529780,101785,1411493,1262011,1085270,13079163,558396,1262011,55469322.91984558,48877756,21975039,4,558396,21860980
1709485056.574592,24.0.celestial,23.0.celestial,75103658.1993103,19595805.168151855,19165494,1460420,1553,1440644,1305599,1154625,13079163,558396,1305599,55507853.03115845,48068105,19300376,3,558396,19192364
