t,host,operation,status,error,latency
1708883850.6253798,43.0.celestial,get,success,,0.006473541259765625
1708883850.7359128,43.0.celestial,get,success,,0.006376028060913086
1708883850.8467267,43.0.celestial,del,success,,0.006556510925292969
1708883850.9565225,43.0.celestial,del,success,,0.006285190582275391
1708883851.0676312,43.0.celestial,del,success,,0.0065844058990478516
1708883851.177478,43.0.celestial,get,success,,0.00634312629699707
1708883851.287124,43.0.celestial,set,success,,0.006590604782104492
1708883851.3976765,43.0.celestial,set,success,,0.0063097476959228516
1708883851.507941,43.0.celestial,del,success,,0.0064544677734375
1708883851.6183224,43.0.celestial,get,success,,0.0063250064849853516
1708883851.7278185,43.0.celestial,get,success,,0.006430149078369141
1708883851.8374264,43.0.celestial,del,success,,0.006372928619384766
1708883851.9494312,43.0.celestial,set,success,,0.006781339645385742
1708883852.0603943,43.0.celestial,get,success,,0.007269620895385742
1708883852.1716728,43.0.celestial,get,success,,0.0064618587493896484
1708883852.2812815,43.0.celestial,del,success,,0.006482124328613281
1708883852.391565,43.0.celestial,del,success,,0.006377458572387695
1708883852.5016618,43.0.celestial,get,success,,0.006214141845703125
1708883852.6109817,43.0.celestial,get,success,,0.006417751312255859
1708883852.7205317,43.0.celestial,del,success,,0.006257534027099609
1708883852.8300705,43.0.celestial,set,success,,0.0065460205078125
1708883852.9419308,43.0.celestial,del,success,,0.007165670394897461
1708883853.0523682,43.0.celestial,del,success,,0.007078647613525391
1708883853.1640258,43.0.celestial,del,success,,0.00830984115600586
1708883853.2782242,43.0.celestial,set,success,,0.007302761077880859
1708883853.3892138,43.0.celestial,set,success,,0.006436586380004883
1708883853.4994886,43.0.celestial,del,success,,0.0065610408782958984
1708883853.6099074,43.0.celestial,del,success,,0.0063934326171875
1708883853.7194018,43.0.celestial,set,success,,0.006428241729736328
1708883853.8296714,43.0.celestial,get,success,,0.006356477737426758
1708883853.9392047,43.0.celestial,set,success,,0.006333351135253906
1708883854.0492432,43.0.celestial,del,success,,0.006228923797607422
1708883854.1591754,43.0.celestial,del,success,,0.006305217742919922
1708883854.269359,43.0.celestial,set,success,,0.0064868927001953125
1708883854.379085,43.0.celestial,get,success,,0.00644373893737793
1708883854.4892092,43.0.celestial,del,success,,0.006444454193115234
1708883854.5995133,43.0.celestial,del,success,,0.0065000057220458984
1708883854.7112489,43.0.celestial,del,success,,0.008054494857788086
1708883854.8250294,43.0.celestial,set,success,,0.007832050323486328
1708883854.9360266,43.0.celestial,get,success,,0.0069506168365478516
1708883855.0461452,43.0.celestial,del,success,,0.00669407844543457
1708883855.1561956,43.0.celestial,get,success,,0.00917673110961914
1708883855.269476,43.0.celestial,set,success,,0.006498098373413086
1708883855.3793278,43.0.celestial,set,success,,0.02292013168334961
1708883855.5068202,43.0.celestial,get,success,,0.007291555404663086
1708883855.6199417,43.0.celestial,set,fail,Timeout reading from socket,0.10802602767944336
1708883855.8319602,43.0.celestial,get,fail,Timeout connecting to server,0.10770320892333984
1708883856.0423787,43.0.celestial,get,fail,Timeout connecting to server,0.10798835754394531
1708883856.2534235,43.0.celestial,del,fail,Timeout connecting to server,0.10954666137695312
1708883856.4656732,43.0.celestial,get,fail,Timeout connecting to server,0.10959100723266602
1708883856.6787047,43.0.celestial,set,fail,Timeout connecting to server,0.10784101486206055
1708883856.8893166,43.0.celestial,get,fail,Timeout connecting to server,0.10870122909545898
1708883857.1024556,43.0.celestial,del,fail,Timeout connecting to server,0.10795259475708008
1708883857.3137696,43.0.celestial,del,fail,Timeout connecting to server,0.10898900032043457
1708883857.525981,43.0.celestial,get,fail,Timeout connecting to server,0.10856056213378906
1708883857.737541,43.0.celestial,get,fail,Timeout connecting to server,0.11071515083312988
1708883857.9516568,43.0.celestial,set,fail,Timeout connecting to server,0.10970950126647949
1708883858.1646512,43.0.celestial,del,fail,Timeout connecting to server,0.10682249069213867
1708883858.3739529,43.0.celestial,get,fail,Timeout connecting to server,0.10872936248779297
1708883858.5871215,43.0.celestial,del,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.015343189239501953
1708883858.7063613,43.0.celestial,get,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.015772104263305664
1708883858.826931,43.0.celestial,set,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.015678882598876953
1708883858.9457564,43.0.celestial,get,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.016475439071655273
1708883859.0653272,43.0.celestial,del,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.01656317710876465
