t,source_sat,target_sat,total_duration,total_checkpoint_duration,checkpoint_stats.podman_checkpoint_duration,checkpoint_stats.container_statistics.runtime_checkpoint_duration,checkpoint_stats.container_statistics.criu_statistics.freezing_time,checkpoint_stats.container_statistics.criu_statistics.frozen_time,checkpoint_stats.container_statistics.criu_statistics.memdump_time,checkpoint_stats.container_statistics.criu_statistics.memwrite_time,checkpoint_stats.container_statistics.criu_statistics.pages_scanned,checkpoint_stats.container_statistics.criu_statistics.pages_written,checkpoint_stats.container_statistics.criu_statistics.memdump_time,total_restore_duration,restore_stats.podman_restore_duration,restore_stats.container_statistics.runtime_restore_duration,restore_stats.container_statistics.criu_statistics.forking_time,restore_stats.container_statistics.criu_statistics.pages_restored,restore_stats.container_statistics.criu_statistics.restore_time
1708883878.403878,43.0.celestial,42.0.celestial,22853718.996047974,3486359.3578338623,3141484,929193,1288,906683,775917,702385,4762917,263677,775917,19367359.63821411,15998862,6557588,4,263677,6501832
1708883917.0162733,42.0.celestial,41.0.celestial,23367089.03312683,3443341.4936065674,3154216,771297,101112,654453,575692,506660,4762597,263661,575692,19923747.539520264,16565310,6821527,4,263661,6750531
1708884000.3006828,41.0.celestial,40.0.celestial,22907808.542251587,2924496.4122772217,2642736,654215,1005,636598,552864,485679,4762637,263663,552864,19983312.129974365,16581575,6848975,4,263663,6761525
1708884078.7080638,40.0.celestial,39.0.celestial,23049391.03126526,3032707.691192627,2731632,674115,961,656853,579058,520988,4762637,263663,579058,20016683.34007263,16594541,6806037,4,263663,6733881
1708884162.2326658,39.0.celestial,38.0.celestial,23157173.87199402,3302144.765853882,3046983,737327,101442,617376,537826,501738,4762637,263663,537826,19855029.106140137,16483200,6795604,6,263663,6712908
1708884245.8444622,38.0.celestial,37.0.celestial,23239299.058914185,3248146.7723846436,2960658,633447,1003,614982,535628,470179,4762637,263663,535628,19991152.28652954,16506384,6822981,6,263663,6741395
1708884324.406248,37.0.celestial,36.0.celestial,23196917.53387451,3170790.910720825,2859457,672565,1096,650320,572410,509630,4762637,263663,572410,20026126.623153687,16603798,6896162,4,263663,6805734
1708884407.8956127,36.0.celestial,35.0.celestial,23104844.093322754,2981291.5325164795,2702334,728831,1149,713395,631027,520942,4762637,263663,631027,20123552.560806274,16699790,6856676,4,263663,6790082
1708884491.2518613,35.0.celestial,34.0.celestial,22992532.0148468,2960917.2344207764,2682408,720514,101460,602655,515704,479709,4762637,263663,515704,20031614.780426025,16638381,6886872,4,263663,6833238
1708884569.7306004,34.0.celestial,33.0.celestial,23115061.99836731,3075149.7745513916,2776660,649511,1300,632283,553705,500346,4762637,263663,553705,20039912.223815918,16594781,6850796,3,263663,6774986
1708884653.6668606,33.0.celestial,32.0.celestial,23358141.899108887,3202631.950378418,2896041,663156,1017,646349,569529,510930,4762637,263663,569529,20155509.94873047,16709382,6851866,4,263663,6767485
1708884737.4562974,32.0.celestial,31.0.celestial,23223230.361938477,3106704.2350769043,2785171,741514,101352,625861,544855,467052,4762637,263663,544855,20116526.126861572,16702852,6972411,4,263663,6886955
1708884821.156126,31.0.celestial,30.0.celestial,23127788.305282593,3059840.440750122,2743921,754836,101250,637739,559797,485256,4762637,263663,559797,20067947.86453247,16681762,6872208,3,263663,6804828
1708884899.8909395,30.0.celestial,29.0.celestial,23183211.80343628,3065546.751022339,2752362,753277,100934,636699,557626,487317,4762637,263663,557626,20117665.05241394,16777493,6924374,4,263663,6845477
1708884983.706773,29.0.celestial,28.0.celestial,23241616.96434021,2970660.68649292,2696738,625189,1033,609542,528508,470209,4762637,263663,528508,20270956.27784729,16866677,6942251,6,263663,6866791
1708885067.4601822,28.0.celestial,27.0.celestial,23170167.446136475,3099619.150161743,2778750,671562,1088,654941,575001,501280,4762637,263663,575001,20070548.29597473,16730081,6894702,4,263663,6817640
1708885151.77718,27.0.celestial,26.0.celestial,23740782.260894775,3344244.0032958984,3042944,794006,101065,678124,598118,519466,4762637,263663,598118,20396538.257598877,16999066,6975481,4,263663,6915605
1708885235.7497182,26.0.celestial,25.0.celestial,23403746.366500854,3204050.5409240723,2876007,761992,101266,644332,564877,505624,4762637,263663,564877,20199695.825576782,16782678,7038465,4,263663,6954140
1708885320.0522614,25.0.celestial,24.0.celestial,23722524.404525757,3385392.189025879,3083585,742880,101290,625488,547193,511467,4762637,263663,547193,20337132.215499878,16950783,7046286,3,263663,6970558
1708885403.9890583,24.0.celestial,23.0.celestial,23396173.47717285,3048984.5275878906,2777991,678995,1083,663325,584383,529826,4762637,263663,584383,20347188.94958496,16964590,7009957,5,263663,6927304
1708885488.0439892,23.0.celestial,22.0.celestial,23475368.49975586,3037275.3143310547,2716967,626852,939,610611,529862,496371,4762666,263664,529862,20438093.185424805,17027446,7010825,5,263664,6952891
